Country,State,Place,Address,Ratings,Reviews,Best_Time_to_Visit,Latitude,Longitude
India,Maharashtra,Gateway of India - 4878,"Gateway of India Road, Maharashtra, India",3.8,Great for photography!,Autumn,30.505716,169.074938
India,Maharashtra,Gateway of India - 1195,"Gateway of India Road, Maharashtra, India",4.0,Amazing place to visit!,Summer,-2.204028,-124.84399
India,Maharashtra,Gateway of India - 1720,"Gateway of India Road, Maharashtra, India",4.0,Great for photography!,Winter,-75.996741,-40.900781
India,Maharashtra,Gateway of India - 4160,"Gateway of India Road, Maharashtra, India",3.9,Loved the experience!,Summer,-89.491747,109.560142
India,Maharashtra,Gateway of India - 36,"Gateway of India Road, Maharashtra, India",4.1,Breathtaking view!,Spring,-43.644064,104.543529
India,Maharashtra,Gateway of India - 886,"Gateway of India Road, Maharashtra, India",3.8,Highly recommended!,Winter,-3.062482,124.137737
India,Maharashtra,Gateway of India - 4604,"Gateway of India Road, Maharashtra, India",4.5,Breathtaking view!,Autumn,-28.449212,-35.786555
India,Maharashtra,Gateway of India - 196,"Gateway of India Road, Maharashtra, India",4.7,Breathtaking view!,Autumn,-50.534159,74.075507
India,Maharashtra,Gateway of India - 2704,"Gateway of India Road, Maharashtra, India",4.3,Peaceful and relaxing.,Summer,-68.721758,-3.925321
India,Maharashtra,Gateway of India - 1747,"Gateway of India Road, Maharashtra, India",4.0,Highly recommended!,Summer,-19.366126,-133.762402
India,Maharashtra,Gateway of India - 553,"Gateway of India Road, Maharashtra, India",3.7,Peaceful and relaxing.,Winter,-22.394971,141.552
India,Maharashtra,Gateway of India - 2153,"Gateway of India Road, Maharashtra, India",4.2,Peaceful and relaxing.,Winter,78.105408,34.968071
India,Maharashtra,Gateway of India - 4524,"Gateway of India Road, Maharashtra, India",3.7,Highly recommended!,Spring,-66.622023,-64.752551
India,Maharashtra,Gateway of India - 684,"Gateway of India Road, Maharashtra, India",3.9,A must-visit location!,Spring,-22.502746,-99.825146
India,Maharashtra,Gateway of India - 4404,"Gateway of India Road, Maharashtra, India",4.3,Loved the experience!,Autumn,-19.401898,-103.941199
India,Maharashtra,Gateway of India - 4728,"Gateway of India Road, Maharashtra, India",4.0,Breathtaking view!,Winter,-40.292459,179.80821
India,Maharashtra,Gateway of India - 3203,"Gateway of India Road, Maharashtra, India",3.7,Peaceful and relaxing.,Winter,-89.997342,-49.364513
India,Maharashtra,Gateway of India - 497,"Gateway of India Road, Maharashtra, India",4.9,Loved the experience!,Spring,-44.629522,114.815945
India,Maharashtra,Gateway of India - 2881,"Gateway of India Road, Maharashtra, India",4.9,Highly recommended!,Summer,77.656145,-31.344451
India,Maharashtra,Gateway of India - 4594,"Gateway of India Road, Maharashtra, India",3.7,Breathtaking view!,Autumn,73.559773,130.697173
India,Maharashtra,Gateway of India - 2052,"Gateway of India Road, Maharashtra, India",4.4,Breathtaking view!,Winter,3.566752,125.382359
India,Maharashtra,Gateway of India - 271,"Gateway of India Road, Maharashtra, India",4.5,Breathtaking view!,Spring,32.091365,8.564581
India,Maharashtra,Gateway of India - 669,"Gateway of India Road, Maharashtra, India",3.6,Highly recommended!,Winter,68.132283,-167.957847
India,Maharashtra,Gateway of India - 2186,"Gateway of India Road, Maharashtra, India",3.6,Amazing place to visit!,Winter,86.959196,18.478267
India,Maharashtra,Gateway of India - 4947,"Gateway of India Road, Maharashtra, India",4.2,A must-visit location!,Summer,-34.709864,174.88728
India,Maharashtra,Gateway of India - 2655,"Gateway of India Road, Maharashtra, India",3.8,Amazing place to visit!,Summer,87.168224,-132.903344
India,Maharashtra,Gateway of India - 867,"Gateway of India Road, Maharashtra, India",3.7,Loved the experience!,Winter,-43.190787,171.170423
India,Maharashtra,Gateway of India - 1538,"Gateway of India Road, Maharashtra, India",4.5,Loved the experience!,Spring,16.963672,154.555757
India,Maharashtra,Gateway of India - 4256,"Gateway of India Road, Maharashtra, India",3.5,Highly recommended!,Summer,64.504383,0.83591
India,Maharashtra,Gateway of India - 1326,"Gateway of India Road, Maharashtra, India",4.8,Amazing place to visit!,Summer,38.962238,0.00092
India,Maharashtra,Gateway of India - 3476,"Gateway of India Road, Maharashtra, India",4.0,Amazing place to visit!,Spring,-26.728262,132.060153
India,Maharashtra,Gateway of India - 3313,"Gateway of India Road, Maharashtra, India",4.8,Peaceful and relaxing.,Autumn,24.762106,-138.124797
India,Maharashtra,Gateway of India - 4525,"Gateway of India Road, Maharashtra, India",4.3,Peaceful and relaxing.,Summer,66.743295,-123.279295
India,Maharashtra,Gateway of India - 4855,"Gateway of India Road, Maharashtra, India",3.6,Amazing place to visit!,Spring,-38.110563,-19.016176
India,Maharashtra,Gateway of India - 3491,"Gateway of India Road, Maharashtra, India",5.0,Loved the experience!,Spring,43.899011,-101.39068
India,Maharashtra,Gateway of India - 2637,"Gateway of India Road, Maharashtra, India",3.5,A must-visit location!,Summer,25.345615,135.487538
India,Maharashtra,Gateway of India - 2474,"Gateway of India Road, Maharashtra, India",4.1,A must-visit location!,Spring,18.295349,33.482275
India,Maharashtra,Gateway of India - 1280,"Gateway of India Road, Maharashtra, India",3.8,Highly recommended!,Spring,-27.505877,-20.591496
India,Maharashtra,Gateway of India - 2851,"Gateway of India Road, Maharashtra, India",4.3,Loved the experience!,Autumn,-20.959077,66.844343
India,Maharashtra,Gateway of India - 4515,"Gateway of India Road, Maharashtra, India",3.6,Loved the experience!,Autumn,41.15699,153.107668
India,Maharashtra,Gateway of India - 1190,"Gateway of India Road, Maharashtra, India",4.8,A must-visit location!,Summer,-81.321385,-31.488077
India,Maharashtra,Gateway of India - 1646,"Gateway of India Road, Maharashtra, India",3.9,Breathtaking view!,Summer,-81.42866,-139.987637
India,Maharashtra,Gateway of India - 4248,"Gateway of India Road, Maharashtra, India",3.7,Peaceful and relaxing.,Winter,-10.190505,-89.181025
India,Maharashtra,Gateway of India - 4742,"Gateway of India Road, Maharashtra, India",4.8,Highly recommended!,Autumn,-15.60236,-82.703245
India,Maharashtra,Gateway of India - 4948,"Gateway of India Road, Maharashtra, India",3.9,A must-visit location!,Summer,-53.30231,-167.723679
India,Maharashtra,Gateway of India - 1555,"Gateway of India Road, Maharashtra, India",4.2,A must-visit location!,Autumn,-22.694628,132.258597
India,Maharashtra,Gateway of India - 4873,"Gateway of India Road, Maharashtra, India",3.8,Great for photography!,Spring,-79.558602,144.884828
India,Maharashtra,Gateway of India - 4858,"Gateway of India Road, Maharashtra, India",4.1,A must-visit location!,Autumn,-44.889406,-25.14841
India,Maharashtra,Gateway of India - 1487,"Gateway of India Road, Maharashtra, India",3.8,Peaceful and relaxing.,Autumn,-80.51159,-31.751677
India,Maharashtra,Gateway of India - 1115,"Gateway of India Road, Maharashtra, India",3.6,Peaceful and relaxing.,Autumn,-87.072858,151.980665
India,Maharashtra,Gateway of India - 2187,"Gateway of India Road, Maharashtra, India",4.6,Highly recommended!,Spring,-73.548381,37.366626
India,Maharashtra,Gateway of India - 1857,"Gateway of India Road, Maharashtra, India",4.1,A must-visit location!,Autumn,-7.837902,-158.347241
India,Maharashtra,Gateway of India - 3986,"Gateway of India Road, Maharashtra, India",3.9,A must-visit location!,Spring,1.075078,165.390837
India,Maharashtra,Gateway of India - 477,"Gateway of India Road, Maharashtra, India",4.8,Highly recommended!,Spring,-17.139282,131.498822
India,Maharashtra,Gateway of India - 3358,"Gateway of India Road, Maharashtra, India",4.6,Amazing place to visit!,Winter,23.362824,8.016284
India,Maharashtra,Gateway of India - 3855,"Gateway of India Road, Maharashtra, India",4.0,Peaceful and relaxing.,Spring,58.975037,179.095337
India,Maharashtra,Gateway of India - 2122,"Gateway of India Road, Maharashtra, India",3.5,Amazing place to visit!,Winter,21.013293,-67.555741
India,Maharashtra,Gateway of India - 3136,"Gateway of India Road, Maharashtra, India",4.0,A must-visit location!,Spring,84.577353,-146.679349
India,Maharashtra,Gateway of India - 2439,"Gateway of India Road, Maharashtra, India",4.5,Peaceful and relaxing.,Winter,61.070554,66.448668
India,Maharashtra,Gateway of India - 4787,"Gateway of India Road, Maharashtra, India",4.1,Breathtaking view!,Autumn,36.802531,128.496313
India,Maharashtra,Gateway of India - 2548,"Gateway of India Road, Maharashtra, India",4.5,Breathtaking view!,Summer,73.405482,-97.187764
India,Maharashtra,Gateway of India - 815,"Gateway of India Road, Maharashtra, India",4.1,Peaceful and relaxing.,Winter,50.683874,-22.665891
India,Maharashtra,Gateway of India - 3558,"Gateway of India Road, Maharashtra, India",3.8,A must-visit location!,Spring,-79.981875,114.956261
India,Maharashtra,Gateway of India - 1781,"Gateway of India Road, Maharashtra, India",5.0,Great for photography!,Spring,87.508122,161.581784
India,Maharashtra,Gateway of India - 3357,"Gateway of India Road, Maharashtra, India",4.9,A must-visit location!,Spring,-9.59356,80.618189
India,Maharashtra,Gateway of India - 3450,"Gateway of India Road, Maharashtra, India",4.4,Highly recommended!,Autumn,89.972097,-54.051773
India,Maharashtra,Gateway of India - 3105,"Gateway of India Road, Maharashtra, India",4.0,Loved the experience!,Summer,17.220682,43.331049
India,Maharashtra,Gateway of India - 4820,"Gateway of India Road, Maharashtra, India",4.7,A must-visit location!,Summer,43.568256,-178.812116
India,Maharashtra,Gateway of India - 3051,"Gateway of India Road, Maharashtra, India",4.2,Amazing place to visit!,Summer,-67.4961,-178.877819
India,Maharashtra,Gateway of India - 4690,"Gateway of India Road, Maharashtra, India",4.5,Breathtaking view!,Summer,-88.799658,-24.79544
India,Maharashtra,Gateway of India - 3609,"Gateway of India Road, Maharashtra, India",4.3,Amazing place to visit!,Summer,-68.569576,49.585841
India,Maharashtra,Gateway of India - 1716,"Gateway of India Road, Maharashtra, India",3.8,Breathtaking view!,Summer,-67.057882,-119.298314
India,Maharashtra,Gateway of India - 3476,"Gateway of India Road, Maharashtra, India",3.9,A must-visit location!,Summer,-85.13778,138.614342
India,Maharashtra,Gateway of India - 2285,"Gateway of India Road, Maharashtra, India",4.8,Peaceful and relaxing.,Autumn,7.752352,36.97085
India,Maharashtra,Gateway of India - 3589,"Gateway of India Road, Maharashtra, India",4.8,A must-visit location!,Spring,-69.852951,153.409155
India,Maharashtra,Gateway of India - 3425,"Gateway of India Road, Maharashtra, India",4.8,Breathtaking view!,Winter,-33.32509,-138.931831
India,Maharashtra,Gateway of India - 2837,"Gateway of India Road, Maharashtra, India",3.5,Highly recommended!,Summer,-66.215399,54.593647
India,Maharashtra,Ajanta Caves - 1484,"Ajanta Caves Road, Maharashtra, India",3.7,Highly recommended!,Winter,8.199613,-121.49399
India,Maharashtra,Ajanta Caves - 3989,"Ajanta Caves Road, Maharashtra, India",4.9,Great for photography!,Autumn,-79.138338,58.894252
India,Maharashtra,Ajanta Caves - 1737,"Ajanta Caves Road, Maharashtra, India",4.7,Peaceful and relaxing.,Spring,-45.234051,13.399947
India,Maharashtra,Ajanta Caves - 1982,"Ajanta Caves Road, Maharashtra, India",4.7,Great for photography!,Spring,43.791757,176.135783
India,Maharashtra,Ajanta Caves - 2942,"Ajanta Caves Road, Maharashtra, India",3.9,Breathtaking view!,Winter,-46.765377,106.98599
India,Maharashtra,Ajanta Caves - 3740,"Ajanta Caves Road, Maharashtra, India",3.7,Breathtaking view!,Spring,-24.249781,-178.539382
India,Maharashtra,Ajanta Caves - 916,"Ajanta Caves Road, Maharashtra, India",4.1,Breathtaking view!,Autumn,37.169213,-16.47511
India,Maharashtra,Ajanta Caves - 3375,"Ajanta Caves Road, Maharashtra, India",4.9,Peaceful and relaxing.,Summer,-63.437633,127.036826
India,Maharashtra,Ajanta Caves - 4330,"Ajanta Caves Road, Maharashtra, India",4.4,Highly recommended!,Autumn,-87.459582,82.825387
India,Maharashtra,Ajanta Caves - 2070,"Ajanta Caves Road, Maharashtra, India",3.6,Highly recommended!,Winter,10.573123,-127.915296
India,Maharashtra,Ajanta Caves - 1685,"Ajanta Caves Road, Maharashtra, India",4.3,Great for photography!,Autumn,31.790931,-120.392332
India,Maharashtra,Ajanta Caves - 4860,"Ajanta Caves Road, Maharashtra, India",3.7,Amazing place to visit!,Autumn,43.381935,177.415216
India,Maharashtra,Ajanta Caves - 619,"Ajanta Caves Road, Maharashtra, India",5.0,Breathtaking view!,Autumn,76.196541,72.681684
India,Maharashtra,Ajanta Caves - 3106,"Ajanta Caves Road, Maharashtra, India",4.2,Great for photography!,Spring,82.297205,154.262994
India,Maharashtra,Ajanta Caves - 4999,"Ajanta Caves Road, Maharashtra, India",3.5,Loved the experience!,Spring,-27.152276,16.71671
India,Maharashtra,Ajanta Caves - 4797,"Ajanta Caves Road, Maharashtra, India",4.3,Amazing place to visit!,Autumn,-82.243381,-37.1978
India,Maharashtra,Ajanta Caves - 1679,"Ajanta Caves Road, Maharashtra, India",3.7,Amazing place to visit!,Spring,-17.325204,-69.297834
India,Maharashtra,Ajanta Caves - 4074,"Ajanta Caves Road, Maharashtra, India",4.4,Great for photography!,Autumn,-36.247001,151.918174
India,Maharashtra,Ajanta Caves - 134,"Ajanta Caves Road, Maharashtra, India",3.6,Highly recommended!,Summer,-14.051742,-155.658311
India,Maharashtra,Ajanta Caves - 4545,"Ajanta Caves Road, Maharashtra, India",3.8,Loved the experience!,Autumn,78.454403,-96.444451
India,Maharashtra,Ajanta Caves - 1783,"Ajanta Caves Road, Maharashtra, India",3.5,Highly recommended!,Summer,34.681109,-51.556725
India,Maharashtra,Ajanta Caves - 748,"Ajanta Caves Road, Maharashtra, India",3.5,Highly recommended!,Winter,87.46724,1.083732
India,Maharashtra,Ajanta Caves - 4778,"Ajanta Caves Road, Maharashtra, India",4.3,A must-visit location!,Autumn,23.45971,61.640751
India,Maharashtra,Ajanta Caves - 1357,"Ajanta Caves Road, Maharashtra, India",4.5,Peaceful and relaxing.,Autumn,19.924477,-57.115511
India,Maharashtra,Ajanta Caves - 1589,"Ajanta Caves Road, Maharashtra, India",4.4,Loved the experience!,Autumn,79.636887,131.371489
India,Maharashtra,Ajanta Caves - 4575,"Ajanta Caves Road, Maharashtra, India",4.9,Peaceful and relaxing.,Summer,37.862822,29.392088
India,Maharashtra,Ajanta Caves - 3169,"Ajanta Caves Road, Maharashtra, India",4.2,Great for photography!,Spring,-55.224614,81.832578
India,Maharashtra,Ajanta Caves - 2832,"Ajanta Caves Road, Maharashtra, India",5.0,Highly recommended!,Winter,-74.000863,-88.189493
India,Maharashtra,Ajanta Caves - 4207,"Ajanta Caves Road, Maharashtra, India",4.3,Amazing place to visit!,Winter,83.16001,-3.321934
India,Maharashtra,Ajanta Caves - 2338,"Ajanta Caves Road, Maharashtra, India",4.0,Highly recommended!,Autumn,-67.606695,117.089643
India,Maharashtra,Ajanta Caves - 4224,"Ajanta Caves Road, Maharashtra, India",4.2,Amazing place to visit!,Winter,-70.649183,-90.822634
India,Maharashtra,Ajanta Caves - 930,"Ajanta Caves Road, Maharashtra, India",4.3,Breathtaking view!,Winter,8.922884,-45.288573
India,Maharashtra,Ajanta Caves - 1663,"Ajanta Caves Road, Maharashtra, India",4.1,Amazing place to visit!,Summer,88.355911,127.57193
India,Maharashtra,Ajanta Caves - 4264,"Ajanta Caves Road, Maharashtra, India",3.5,Great for photography!,Winter,21.355518,79.834168
India,Maharashtra,Ajanta Caves - 472,"Ajanta Caves Road, Maharashtra, India",4.9,Breathtaking view!,Summer,-36.988782,66.223665
India,Maharashtra,Ajanta Caves - 2135,"Ajanta Caves Road, Maharashtra, India",3.8,Amazing place to visit!,Summer,48.55316,34.049673
India,Maharashtra,Ajanta Caves - 3072,"Ajanta Caves Road, Maharashtra, India",5.0,Great for photography!,Winter,-57.607288,62.364488
India,Maharashtra,Ajanta Caves - 2447,"Ajanta Caves Road, Maharashtra, India",4.4,A must-visit location!,Spring,15.774156,54.665958
India,Maharashtra,Ajanta Caves - 1912,"Ajanta Caves Road, Maharashtra, India",4.5,Amazing place to visit!,Autumn,-76.853448,20.84308
India,Maharashtra,Ajanta Caves - 1935,"Ajanta Caves Road, Maharashtra, India",4.2,Peaceful and relaxing.,Autumn,66.139878,171.003657
India,Maharashtra,Ajanta Caves - 4190,"Ajanta Caves Road, Maharashtra, India",4.2,Highly recommended!,Autumn,-5.734787,-151.183065
India,Maharashtra,Ajanta Caves - 928,"Ajanta Caves Road, Maharashtra, India",3.9,Great for photography!,Autumn,24.118782,116.70168
India,Maharashtra,Ajanta Caves - 4679,"Ajanta Caves Road, Maharashtra, India",4.8,Peaceful and relaxing.,Autumn,71.131961,135.808643
India,Maharashtra,Ajanta Caves - 3572,"Ajanta Caves Road, Maharashtra, India",4.7,Amazing place to visit!,Summer,22.28432,76.576989
India,Maharashtra,Ajanta Caves - 3034,"Ajanta Caves Road, Maharashtra, India",3.8,A must-visit location!,Autumn,-15.486105,-98.995217
India,Maharashtra,Ajanta Caves - 3712,"Ajanta Caves Road, Maharashtra, India",3.5,Great for photography!,Spring,32.835202,173.910774
India,Maharashtra,Ajanta Caves - 4416,"Ajanta Caves Road, Maharashtra, India",4.1,Great for photography!,Summer,81.936787,-91.558038
India,Maharashtra,Ajanta Caves - 1506,"Ajanta Caves Road, Maharashtra, India",4.0,Loved the experience!,Summer,-60.052322,-73.378741
India,Maharashtra,Ajanta Caves - 1564,"Ajanta Caves Road, Maharashtra, India",3.9,Great for photography!,Summer,59.992737,-120.000726
India,Maharashtra,Ajanta Caves - 1557,"Ajanta Caves Road, Maharashtra, India",3.7,Highly recommended!,Spring,-16.09697,-79.621043
India,Maharashtra,Ajanta Caves - 4225,"Ajanta Caves Road, Maharashtra, India",3.5,Loved the experience!,Autumn,-63.334497,-73.430272
India,Maharashtra,Ajanta Caves - 3266,"Ajanta Caves Road, Maharashtra, India",3.7,Loved the experience!,Autumn,-75.115979,-127.049121
India,Maharashtra,Ajanta Caves - 4379,"Ajanta Caves Road, Maharashtra, India",4.2,Breathtaking view!,Winter,-46.563343,77.346523
India,Maharashtra,Ajanta Caves - 2620,"Ajanta Caves Road, Maharashtra, India",4.7,Amazing place to visit!,Winter,-28.996716,144.043868
India,Maharashtra,Ajanta Caves - 4571,"Ajanta Caves Road, Maharashtra, India",3.7,A must-visit location!,Winter,40.463838,-106.463055
India,Maharashtra,Ajanta Caves - 3955,"Ajanta Caves Road, Maharashtra, India",3.6,Highly recommended!,Summer,84.92295,114.213395
India,Maharashtra,Ajanta Caves - 5,"Ajanta Caves Road, Maharashtra, India",4.5,Breathtaking view!,Autumn,47.22575,85.01126
India,Maharashtra,Ajanta Caves - 1456,"Ajanta Caves Road, Maharashtra, India",4.9,A must-visit location!,Summer,-83.753292,34.476801
India,Maharashtra,Ajanta Caves - 1064,"Ajanta Caves Road, Maharashtra, India",3.5,A must-visit location!,Summer,2.094587,61.468329
India,Maharashtra,Ajanta Caves - 2648,"Ajanta Caves Road, Maharashtra, India",3.6,Great for photography!,Spring,-42.835712,-62.107362
India,Maharashtra,Ajanta Caves - 1359,"Ajanta Caves Road, Maharashtra, India",4.7,Loved the experience!,Autumn,-2.654918,-132.87808
India,Maharashtra,Ajanta Caves - 1921,"Ajanta Caves Road, Maharashtra, India",4.1,Great for photography!,Winter,70.170875,118.846914
India,Maharashtra,Ajanta Caves - 3844,"Ajanta Caves Road, Maharashtra, India",4.5,Loved the experience!,Summer,-83.092403,82.167138
India,Maharashtra,Ajanta Caves - 2673,"Ajanta Caves Road, Maharashtra, India",4.0,Highly recommended!,Winter,83.477876,165.203968
India,Maharashtra,Ajanta Caves - 4445,"Ajanta Caves Road, Maharashtra, India",4.2,A must-visit location!,Autumn,-64.800611,105.770842
India,Maharashtra,Ajanta Caves - 103,"Ajanta Caves Road, Maharashtra, India",3.5,A must-visit location!,Spring,-2.885313,39.01788
India,Maharashtra,Ajanta Caves - 875,"Ajanta Caves Road, Maharashtra, India",4.1,Breathtaking view!,Summer,28.681419,144.006965
India,Maharashtra,Ajanta Caves - 4621,"Ajanta Caves Road, Maharashtra, India",4.9,Great for photography!,Summer,56.709094,136.506015
India,Maharashtra,Ajanta Caves - 3425,"Ajanta Caves Road, Maharashtra, India",4.0,A must-visit location!,Winter,-37.634582,46.147758
India,Maharashtra,Ajanta Caves - 1013,"Ajanta Caves Road, Maharashtra, India",3.9,Breathtaking view!,Spring,79.944433,48.463886
India,Maharashtra,Ajanta Caves - 1757,"Ajanta Caves Road, Maharashtra, India",3.9,Loved the experience!,Summer,-42.946964,111.712827
India,Maharashtra,Ajanta Caves - 2713,"Ajanta Caves Road, Maharashtra, India",3.8,A must-visit location!,Winter,-81.689437,36.933326
India,Maharashtra,Ajanta Caves - 817,"Ajanta Caves Road, Maharashtra, India",4.5,Breathtaking view!,Winter,83.486027,40.929545
India,Maharashtra,Ajanta Caves - 1206,"Ajanta Caves Road, Maharashtra, India",3.7,Breathtaking view!,Summer,81.15241,-48.628505
India,Maharashtra,Ajanta Caves - 1450,"Ajanta Caves Road, Maharashtra, India",3.8,Breathtaking view!,Summer,-72.021473,45.107861
India,Maharashtra,Ajanta Caves - 1885,"Ajanta Caves Road, Maharashtra, India",4.7,Loved the experience!,Summer,15.678499,-19.61857
India,Maharashtra,Ajanta Caves - 3555,"Ajanta Caves Road, Maharashtra, India",4.6,Breathtaking view!,Autumn,-57.33674,-99.425252
India,Maharashtra,Ajanta Caves - 1410,"Ajanta Caves Road, Maharashtra, India",3.9,Amazing place to visit!,Spring,-48.842804,162.513883
India,Maharashtra,Ajanta Caves - 3317,"Ajanta Caves Road, Maharashtra, India",3.5,Peaceful and relaxing.,Summer,-31.767379,-4.666377
India,Maharashtra,Ajanta Caves - 4591,"Ajanta Caves Road, Maharashtra, India",3.7,Great for photography!,Summer,73.990971,-129.975189
India,Maharashtra,Ajanta Caves - 1470,"Ajanta Caves Road, Maharashtra, India",4.3,Great for photography!,Winter,-27.759469,20.185509
India,Maharashtra,Ajanta Caves - 4792,"Ajanta Caves Road, Maharashtra, India",4.4,Peaceful and relaxing.,Winter,-46.136907,66.940603
India,Maharashtra,Ajanta Caves - 2095,"Ajanta Caves Road, Maharashtra, India",4.2,Peaceful and relaxing.,Spring,-60.207082,21.543664
India,Maharashtra,Ajanta Caves - 3438,"Ajanta Caves Road, Maharashtra, India",3.6,Peaceful and relaxing.,Summer,-37.169722,-104.432396
India,Maharashtra,Ajanta Caves - 1663,"Ajanta Caves Road, Maharashtra, India",4.7,Highly recommended!,Winter,-70.309825,-124.348713
India,Maharashtra,Ajanta Caves - 2020,"Ajanta Caves Road, Maharashtra, India",4.1,Amazing place to visit!,Spring,-54.921337,-48.834936
India,Maharashtra,Ajanta Caves - 4664,"Ajanta Caves Road, Maharashtra, India",4.3,Loved the experience!,Autumn,-32.565076,48.731596
India,Maharashtra,Ajanta Caves - 562,"Ajanta Caves Road, Maharashtra, India",4.1,A must-visit location!,Autumn,63.341256,-55.393451
India,Maharashtra,Ajanta Caves - 2772,"Ajanta Caves Road, Maharashtra, India",3.8,Highly recommended!,Summer,83.573356,72.73649
India,Maharashtra,Ajanta Caves - 2228,"Ajanta Caves Road, Maharashtra, India",3.6,Great for photography!,Spring,-37.940428,60.441372
India,Maharashtra,Ajanta Caves - 115,"Ajanta Caves Road, Maharashtra, India",4.9,Peaceful and relaxing.,Autumn,72.311788,-66.645842
India,Maharashtra,Ajanta Caves - 341,"Ajanta Caves Road, Maharashtra, India",4.1,Peaceful and relaxing.,Autumn,89.329012,-33.732295
India,Maharashtra,Ajanta Caves - 281,"Ajanta Caves Road, Maharashtra, India",4.2,Peaceful and relaxing.,Winter,44.351082,150.908465
India,Maharashtra,Ajanta Caves - 1822,"Ajanta Caves Road, Maharashtra, India",4.4,Breathtaking view!,Spring,-30.534011,169.402987
India,Maharashtra,Ajanta Caves - 767,"Ajanta Caves Road, Maharashtra, India",4.0,Peaceful and relaxing.,Spring,83.720969,30.028399
India,Maharashtra,Ajanta Caves - 4934,"Ajanta Caves Road, Maharashtra, India",4.2,A must-visit location!,Summer,-86.894821,-83.685139
India,Maharashtra,Ajanta Caves - 2757,"Ajanta Caves Road, Maharashtra, India",3.8,Highly recommended!,Spring,41.558452,98.371337
India,Maharashtra,Ajanta Caves - 4627,"Ajanta Caves Road, Maharashtra, India",4.7,A must-visit location!,Summer,-79.716396,176.673246
India,Maharashtra,Ajanta Caves - 2926,"Ajanta Caves Road, Maharashtra, India",4.3,Loved the experience!,Spring,-82.995812,76.289146
India,Maharashtra,Ajanta Caves - 2475,"Ajanta Caves Road, Maharashtra, India",4.0,Peaceful and relaxing.,Summer,54.592882,57.720357
India,Maharashtra,Elephanta Caves - 588,"Elephanta Caves Road, Maharashtra, India",3.6,Loved the experience!,Spring,63.099345,121.853935
India,Maharashtra,Elephanta Caves - 3625,"Elephanta Caves Road, Maharashtra, India",4.2,Great for photography!,Summer,8.631593,179.39888
