Country,State,City,Tourist Place,Address,Image URL,Reviews,Best Visiting Time,Best Visiting Days,Best Visiting Months,Nearby Attractions,Recommended Stay,Google Maps Link
France,Île-de-France,Paris,Waterfall in Paris,"469 Waterfall St, Paris, Île-de-France, France","https://source.unsplash.com/400x300/?Waterfall,Paris",3.9,Afternoon,Weekends,Winter,Nearby Aquarium,Hostel in Paris,"https://www.google.com/maps/search/Waterfall+in+Paris,Paris"
Australia,New South Wales,Sydney,Cultural Center in Sydney,"788 Cultural Center St, Sydney, New South Wales, Australia","https://source.unsplash.com/400x300/?CulturalCenter,Sydney",3.5,Afternoon,Weekdays,Summer,Nearby Historical Site,Resort in Sydney,"https://www.google.com/maps/search/Cultural+Center+in+Sydney,Sydney"
India,Rajasthan,Jodhpur,Museum in Jodhpur,"746 Museum St, Jodhpur, Rajasthan, India","https://source.unsplash.com/400x300/?Museum,Jodhpur",5.0,Evening,Weekdays,Autumn,Nearby Theme Park,Resort in Jodhpur,"https://www.google.com/maps/search/Museum+in+Jodhpur,Jodhpur"
Japan,Tokyo,Shinjuku,Shopping Mall in Shinjuku,"365 Shopping Mall St, Shinjuku, Tokyo, Japan","https://source.unsplash.com/400x300/?ShoppingMall,Shinjuku",4.0,Evening,Weekdays,Spring,Nearby Beach,Hostel in Shinjuku,"https://www.google.com/maps/search/Shopping+Mall+in+Shinjuku,Shinjuku"
India,Maharashtra,Nagpur,Theme Park in Nagpur,"953 Theme Park St, Nagpur, Maharashtra, India","https://source.unsplash.com/400x300/?ThemePark,Nagpur",4.9,Afternoon,Weekends,Spring,Nearby Zoo,Resort in Nagpur,"https://www.google.com/maps/search/Theme+Park+in+Nagpur,Nagpur"
India,Rajasthan,Jodhpur,Aquarium in Jodhpur,"342 Aquarium St, Jodhpur, Rajasthan, India","https://source.unsplash.com/400x300/?Aquarium,Jodhpur",5.0,Morning,Anytime,Summer,Nearby Mountain,Hotel in Jodhpur,"https://www.google.com/maps/search/Aquarium+in+Jodhpur,Jodhpur"
Japan,Tokyo,Shibuya,Botanical Garden in Shibuya,"964 Botanical Garden St, Shibuya, Tokyo, Japan","https://source.unsplash.com/400x300/?BotanicalGarden,Shibuya",4.9,Afternoon,Weekdays,Spring,Nearby Mountain,Hostel in Shibuya,"https://www.google.com/maps/search/Botanical+Garden+in+Shibuya,Shibuya"
Japan,Osaka,Namba,Historical Site in Namba,"619 Historical Site St, Namba, Osaka, Japan","https://source.unsplash.com/400x300/?HistoricalSite,Namba",4.0,Morning,Weekdays,Winter,Nearby Historical Site,Hostel in Namba,"https://www.google.com/maps/search/Historical+Site+in+Namba,Namba"
Australia,New South Wales,Sydney,Shopping Mall in Sydney,"855 Shopping Mall St, Sydney, New South Wales, Australia","https://source.unsplash.com/400x300/?ShoppingMall,Sydney",3.9,Evening,Weekdays,Autumn,Nearby Historical Site,Resort in Sydney,"https://www.google.com/maps/search/Shopping+Mall+in+Sydney,Sydney"
India,Kerala,Kochi,Theme Park in Kochi,"368 Theme Park St, Kochi, Kerala, India","https://source.unsplash.com/400x300/?ThemePark,Kochi",4.4,Evening,Weekends,Spring,Nearby Botanical Garden,Hostel in Kochi,"https://www.google.com/maps/search/Theme+Park+in+Kochi,Kochi"
USA,California,Los Angeles,Aquarium in Los Angeles,"778 Aquarium St, Los Angeles, California, USA","https://source.unsplash.com/400x300/?Aquarium,LosAngeles",4.3,Evening,Weekdays,Spring,Nearby Historical Site,Resort in Los Angeles,"https://www.google.com/maps/search/Aquarium+in+Los+Angeles,Los Angeles"
USA,Texas,Dallas,Amusement Park in Dallas,"570 Amusement Park St, Dallas, Texas, USA","https://source.unsplash.com/400x300/?AmusementPark,Dallas",3.6,Morning,Weekdays,Winter,Nearby Museum,Resort in Dallas,"https://www.google.com/maps/search/Amusement+Park+in+Dallas,Dallas"
Australia,Victoria,Geelong,Waterfall in Geelong,"584 Waterfall St, Geelong, Victoria, Australia","https://source.unsplash.com/400x300/?Waterfall,Geelong",4.4,Evening,Weekdays,Spring,Nearby Wildlife Sanctuary,Hostel in Geelong,"https://www.google.com/maps/search/Waterfall+in+Geelong,Geelong"
India,Rajasthan,Udaipur,Mountain in Udaipur,"101 Mountain St, Udaipur, Rajasthan, India","https://source.unsplash.com/400x300/?Mountain,Udaipur",3.7,Afternoon,Weekends,Winter,Nearby Zoo,Resort in Udaipur,"https://www.google.com/maps/search/Mountain+in+Udaipur,Udaipur"
USA,Texas,Austin,Historical Site in Austin,"500 Historical Site St, Austin, Texas, USA","https://source.unsplash.com/400x300/?HistoricalSite,Austin",4.1,Afternoon,Anytime,Spring,Nearby Historical Site,Resort in Austin,"https://www.google.com/maps/search/Historical+Site+in+Austin,Austin"
USA,Texas,Austin,Temple in Austin,"255 Temple St, Austin, Texas, USA","https://source.unsplash.com/400x300/?Temple,Austin",3.7,Evening,Weekdays,Summer,Nearby Amusement Park,Hotel in Austin,"https://www.google.com/maps/search/Temple+in+Austin,Austin"
USA,New York,New York City,Shopping Mall in New York City,"719 Shopping Mall St, New York City, New York, USA","https://source.unsplash.com/400x300/?ShoppingMall,NewYorkCity",3.6,Evening,Weekdays,Autumn,Nearby Zoo,Hostel in New York City,"https://www.google.com/maps/search/Shopping+Mall+in+New+York+City,New York City"
USA,California,San Diego,Botanical Garden in San Diego,"46 Botanical Garden St, San Diego, California, USA","https://source.unsplash.com/400x300/?BotanicalGarden,SanDiego",5.0,Evening,Anytime,Spring,Nearby Shopping Mall,Resort in San Diego,"https://www.google.com/maps/search/Botanical+Garden+in+San+Diego,San Diego"
Japan,Kyoto,Gion,Temple in Gion,"787 Temple St, Gion, Kyoto, Japan","https://source.unsplash.com/400x300/?Temple,Gion",4.1,Morning,Anytime,Autumn,Nearby Shopping Mall,Hotel in Gion,"https://www.google.com/maps/search/Temple+in+Gion,Gion"
India,Rajasthan,Jodhpur,Shopping Mall in Jodhpur,"343 Shopping Mall St, Jodhpur, Rajasthan, India","https://source.unsplash.com/400x300/?ShoppingMall,Jodhpur",4.1,Evening,Anytime,Winter,Nearby Wildlife Sanctuary,Hostel in Jodhpur,"https://www.google.com/maps/search/Shopping+Mall+in+Jodhpur,Jodhpur"
France,Île-de-France,Paris,Temple in Paris,"499 Temple St, Paris, Île-de-France, France","https://source.unsplash.com/400x300/?Temple,Paris",4.8,Evening,Weekdays,Summer,Nearby Wildlife Sanctuary,Hostel in Paris,"https://www.google.com/maps/search/Temple+in+Paris,Paris"
India,Rajasthan,Jaipur,Botanical Garden in Jaipur,"478 Botanical Garden St, Jaipur, Rajasthan, India","https://source.unsplash.com/400x300/?BotanicalGarden,Jaipur",4.0,Evening,Anytime,Autumn,Nearby Mountain,Hostel in Jaipur,"https://www.google.com/maps/search/Botanical+Garden+in+Jaipur,Jaipur"
Japan,Osaka,Namba,Cultural Center in Namba,"590 Cultural Center St, Namba, Osaka, Japan","https://source.unsplash.com/400x300/?CulturalCenter,Namba",4.9,Afternoon,Weekdays,Spring,Nearby Museum,Resort in Namba,"https://www.google.com/maps/search/Cultural+Center+in+Namba,Namba"
Japan,Osaka,Dotonbori,Cultural Center in Dotonbori,"172 Cultural Center St, Dotonbori, Osaka, Japan","https://source.unsplash.com/400x300/?CulturalCenter,Dotonbori",4.2,Morning,Anytime,Spring,Nearby Theme Park,Hostel in Dotonbori,"https://www.google.com/maps/search/Cultural+Center+in+Dotonbori,Dotonbori"
USA,Florida,Miami,Historical Site in Miami,"242 Historical Site St, Miami, Florida, USA","https://source.unsplash.com/400x300/?HistoricalSite,Miami",4.1,Morning,Weekdays,Spring,Nearby Amusement Park,Resort in Miami,"https://www.google.com/maps/search/Historical+Site+in+Miami,Miami"
Japan,Hokkaido,Sapporo,Theme Park in Sapporo,"560 Theme Park St, Sapporo, Hokkaido, Japan","https://source.unsplash.com/400x300/?ThemePark,Sapporo",4.5,Afternoon,Anytime,Spring,Nearby Waterfall,Hostel in Sapporo,"https://www.google.com/maps/search/Theme+Park+in+Sapporo,Sapporo"
France,Normandy,Rouen,Cultural Center in Rouen,"726 Cultural Center St, Rouen, Normandy, France","https://source.unsplash.com/400x300/?CulturalCenter,Rouen",4.2,Morning,Weekdays,Autumn,Nearby Zoo,Hostel in Rouen,"https://www.google.com/maps/search/Cultural+Center+in+Rouen,Rouen"
Japan,Kyoto,Arashiyama,Waterfall in Arashiyama,"284 Waterfall St, Arashiyama, Kyoto, Japan","https://source.unsplash.com/400x300/?Waterfall,Arashiyama",3.7,Afternoon,Weekdays,Spring,Nearby Temple,Hostel in Arashiyama,"https://www.google.com/maps/search/Waterfall+in+Arashiyama,Arashiyama"
India,Tamil Nadu,Coimbatore,Cultural Center in Coimbatore,"603 Cultural Center St, Coimbatore, Tamil Nadu, India","https://source.unsplash.com/400x300/?CulturalCenter,Coimbatore",4.4,Evening,Weekdays,Spring,Nearby Botanical Garden,Hotel in Coimbatore,"https://www.google.com/maps/search/Cultural+Center+in+Coimbatore,Coimbatore"
India,Kerala,Thiruvananthapuram,Beach in Thiruvananthapuram,"35 Beach St, Thiruvananthapuram, Kerala, India","https://source.unsplash.com/400x300/?Beach,Thiruvananthapuram",3.6,Afternoon,Anytime,Winter,Nearby Cultural Center,Resort in Thiruvananthapuram,"https://www.google.com/maps/search/Beach+in+Thiruvananthapuram,Thiruvananthapuram"
France,Provence-Alpes-Côte d'Azur,Marseille,Shopping Mall in Marseille,"375 Shopping Mall St, Marseille, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?ShoppingMall,Marseille",3.7,Afternoon,Weekdays,Spring,Nearby Shopping Mall,Hotel in Marseille,"https://www.google.com/maps/search/Shopping+Mall+in+Marseille,Marseille"
USA,New York,New York City,Historical Site in New York City,"638 Historical Site St, New York City, New York, USA","https://source.unsplash.com/400x300/?HistoricalSite,NewYorkCity",3.6,Afternoon,Anytime,Summer,Nearby Mountain,Hostel in New York City,"https://www.google.com/maps/search/Historical+Site+in+New+York+City,New York City"
India,Maharashtra,Nagpur,Wildlife Sanctuary in Nagpur,"333 Wildlife Sanctuary St, Nagpur, Maharashtra, India","https://source.unsplash.com/400x300/?WildlifeSanctuary,Nagpur",3.9,Evening,Weekends,Autumn,Nearby Cultural Center,Hostel in Nagpur,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Nagpur,Nagpur"
Australia,Victoria,Melbourne,Aquarium in Melbourne,"617 Aquarium St, Melbourne, Victoria, Australia","https://source.unsplash.com/400x300/?Aquarium,Melbourne",4.9,Evening,Weekdays,Spring,Nearby Theme Park,Resort in Melbourne,"https://www.google.com/maps/search/Aquarium+in+Melbourne,Melbourne"
Japan,Kyoto,Arashiyama,Aquarium in Arashiyama,"542 Aquarium St, Arashiyama, Kyoto, Japan","https://source.unsplash.com/400x300/?Aquarium,Arashiyama",3.7,Evening,Weekends,Summer,Nearby Amusement Park,Resort in Arashiyama,"https://www.google.com/maps/search/Aquarium+in+Arashiyama,Arashiyama"
France,Provence-Alpes-Côte d'Azur,Nice,Waterfall in Nice,"311 Waterfall St, Nice, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?Waterfall,Nice",4.2,Afternoon,Weekends,Autumn,Nearby Beach,Hostel in Nice,"https://www.google.com/maps/search/Waterfall+in+Nice,Nice"
India,Kerala,Kochi,Botanical Garden in Kochi,"929 Botanical Garden St, Kochi, Kerala, India","https://source.unsplash.com/400x300/?BotanicalGarden,Kochi",4.5,Evening,Weekends,Winter,Nearby Shopping Mall,Hotel in Kochi,"https://www.google.com/maps/search/Botanical+Garden+in+Kochi,Kochi"
Australia,Victoria,Melbourne,Historical Site in Melbourne,"309 Historical Site St, Melbourne, Victoria, Australia","https://source.unsplash.com/400x300/?HistoricalSite,Melbourne",4.4,Morning,Weekdays,Summer,Nearby Zoo,Hostel in Melbourne,"https://www.google.com/maps/search/Historical+Site+in+Melbourne,Melbourne"
Australia,New South Wales,Newcastle,Beach in Newcastle,"693 Beach St, Newcastle, New South Wales, Australia","https://source.unsplash.com/400x300/?Beach,Newcastle",4.1,Morning,Anytime,Winter,Nearby Aquarium,Hotel in Newcastle,"https://www.google.com/maps/search/Beach+in+Newcastle,Newcastle"
USA,Florida,Tampa,Beach in Tampa,"466 Beach St, Tampa, Florida, USA","https://source.unsplash.com/400x300/?Beach,Tampa",4.1,Afternoon,Weekdays,Winter,Nearby Aquarium,Resort in Tampa,"https://www.google.com/maps/search/Beach+in+Tampa,Tampa"
Australia,Victoria,Geelong,Wildlife Sanctuary in Geelong,"798 Wildlife Sanctuary St, Geelong, Victoria, Australia","https://source.unsplash.com/400x300/?WildlifeSanctuary,Geelong",4.5,Afternoon,Anytime,Autumn,Nearby Zoo,Hostel in Geelong,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Geelong,Geelong"
Australia,New South Wales,Sydney,Aquarium in Sydney,"293 Aquarium St, Sydney, New South Wales, Australia","https://source.unsplash.com/400x300/?Aquarium,Sydney",4.2,Afternoon,Weekends,Winter,Nearby Wildlife Sanctuary,Resort in Sydney,"https://www.google.com/maps/search/Aquarium+in+Sydney,Sydney"
Japan,Kyoto,Gion,Museum in Gion,"413 Museum St, Gion, Kyoto, Japan","https://source.unsplash.com/400x300/?Museum,Gion",3.8,Morning,Weekdays,Summer,Nearby Temple,Hotel in Gion,"https://www.google.com/maps/search/Museum+in+Gion,Gion"
USA,California,San Diego,Amusement Park in San Diego,"225 Amusement Park St, San Diego, California, USA","https://source.unsplash.com/400x300/?AmusementPark,SanDiego",4.3,Morning,Anytime,Autumn,Nearby Shopping Mall,Resort in San Diego,"https://www.google.com/maps/search/Amusement+Park+in+San+Diego,San Diego"
USA,Florida,Miami,Waterfall in Miami,"22 Waterfall St, Miami, Florida, USA","https://source.unsplash.com/400x300/?Waterfall,Miami",4.4,Evening,Weekdays,Autumn,Nearby Zoo,Resort in Miami,"https://www.google.com/maps/search/Waterfall+in+Miami,Miami"
France,Normandy,Rouen,Botanical Garden in Rouen,"403 Botanical Garden St, Rouen, Normandy, France","https://source.unsplash.com/400x300/?BotanicalGarden,Rouen",4.0,Afternoon,Weekdays,Autumn,Nearby Beach,Hostel in Rouen,"https://www.google.com/maps/search/Botanical+Garden+in+Rouen,Rouen"
USA,Texas,Dallas,Waterfall in Dallas,"182 Waterfall St, Dallas, Texas, USA","https://source.unsplash.com/400x300/?Waterfall,Dallas",4.8,Evening,Anytime,Spring,Nearby Museum,Resort in Dallas,"https://www.google.com/maps/search/Waterfall+in+Dallas,Dallas"
India,Kerala,Kochi,Shopping Mall in Kochi,"978 Shopping Mall St, Kochi, Kerala, India","https://source.unsplash.com/400x300/?ShoppingMall,Kochi",3.9,Evening,Weekdays,Winter,Nearby Historical Site,Hostel in Kochi,"https://www.google.com/maps/search/Shopping+Mall+in+Kochi,Kochi"
USA,Texas,Dallas,Historical Site in Dallas,"918 Historical Site St, Dallas, Texas, USA","https://source.unsplash.com/400x300/?HistoricalSite,Dallas",4.8,Afternoon,Anytime,Summer,Nearby Aquarium,Resort in Dallas,"https://www.google.com/maps/search/Historical+Site+in+Dallas,Dallas"
USA,Texas,Austin,Temple in Austin,"767 Temple St, Austin, Texas, USA","https://source.unsplash.com/400x300/?Temple,Austin",4.8,Afternoon,Anytime,Autumn,Nearby Wildlife Sanctuary,Hotel in Austin,"https://www.google.com/maps/search/Temple+in+Austin,Austin"
India,Tamil Nadu,Coimbatore,Shopping Mall in Coimbatore,"461 Shopping Mall St, Coimbatore, Tamil Nadu, India","https://source.unsplash.com/400x300/?ShoppingMall,Coimbatore",4.3,Afternoon,Weekdays,Autumn,Nearby Aquarium,Resort in Coimbatore,"https://www.google.com/maps/search/Shopping+Mall+in+Coimbatore,Coimbatore"
India,Maharashtra,Mumbai,Waterfall in Mumbai,"170 Waterfall St, Mumbai, Maharashtra, India","https://source.unsplash.com/400x300/?Waterfall,Mumbai",4.0,Evening,Weekends,Summer,Nearby Waterfall,Hotel in Mumbai,"https://www.google.com/maps/search/Waterfall+in+Mumbai,Mumbai"
USA,New York,Buffalo,Cultural Center in Buffalo,"822 Cultural Center St, Buffalo, New York, USA","https://source.unsplash.com/400x300/?CulturalCenter,Buffalo",4.6,Evening,Weekdays,Autumn,Nearby Botanical Garden,Resort in Buffalo,"https://www.google.com/maps/search/Cultural+Center+in+Buffalo,Buffalo"
USA,Texas,Dallas,Temple in Dallas,"777 Temple St, Dallas, Texas, USA","https://source.unsplash.com/400x300/?Temple,Dallas",4.0,Morning,Anytime,Autumn,Nearby Historical Site,Hotel in Dallas,"https://www.google.com/maps/search/Temple+in+Dallas,Dallas"
India,Maharashtra,Mumbai,Cultural Center in Mumbai,"751 Cultural Center St, Mumbai, Maharashtra, India","https://source.unsplash.com/400x300/?CulturalCenter,Mumbai",4.5,Evening,Weekends,Summer,Nearby Mountain,Hostel in Mumbai,"https://www.google.com/maps/search/Cultural+Center+in+Mumbai,Mumbai"
USA,New York,Rochester,Historical Site in Rochester,"878 Historical Site St, Rochester, New York, USA","https://source.unsplash.com/400x300/?HistoricalSite,Rochester",4.6,Afternoon,Weekends,Winter,Nearby Shopping Mall,Hostel in Rochester,"https://www.google.com/maps/search/Historical+Site+in+Rochester,Rochester"
France,Normandy,Caen,Historical Site in Caen,"100 Historical Site St, Caen, Normandy, France","https://source.unsplash.com/400x300/?HistoricalSite,Caen",4.7,Evening,Weekends,Summer,Nearby Museum,Hostel in Caen,"https://www.google.com/maps/search/Historical+Site+in+Caen,Caen"
France,Île-de-France,Paris,Zoo in Paris,"98 Zoo St, Paris, Île-de-France, France","https://source.unsplash.com/400x300/?Zoo,Paris",4.2,Afternoon,Weekends,Winter,Nearby Temple,Hotel in Paris,"https://www.google.com/maps/search/Zoo+in+Paris,Paris"
France,Île-de-France,Paris,Historical Site in Paris,"452 Historical Site St, Paris, Île-de-France, France","https://source.unsplash.com/400x300/?HistoricalSite,Paris",4.6,Afternoon,Weekends,Summer,Nearby Botanical Garden,Hotel in Paris,"https://www.google.com/maps/search/Historical+Site+in+Paris,Paris"
France,Provence-Alpes-Côte d'Azur,Marseille,Amusement Park in Marseille,"598 Amusement Park St, Marseille, Provence-Alpes-Côte d'Azur, France","https://source.unsplash.com/400x300/?AmusementPark,Marseille",4.3,Morning,Anytime,Winter,Nearby Theme Park,Hotel in Marseille,"https://www.google.com/maps/search/Amusement+Park+in+Marseille,Marseille"
Japan,Hokkaido,Sapporo,Wildlife Sanctuary in Sapporo,"410 Wildlife Sanctuary St, Sapporo, Hokkaido, Japan","https://source.unsplash.com/400x300/?WildlifeSanctuary,Sapporo",4.7,Morning,Anytime,Summer,Nearby Cultural Center,Resort in Sapporo,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Sapporo,Sapporo"
India,Tamil Nadu,Chennai,Theme Park in Chennai,"758 Theme Park St, Chennai, Tamil Nadu, India","https://source.unsplash.com/400x300/?ThemePark,Chennai",4.4,Evening,Weekdays,Spring,Nearby Botanical Garden,Resort in Chennai,"https://www.google.com/maps/search/Theme+Park+in+Chennai,Chennai"
Australia,New South Wales,Sydney,Botanical Garden in Sydney,"536 Botanical Garden St, Sydney, New South Wales, Australia","https://source.unsplash.com/400x300/?BotanicalGarden,Sydney",4.4,Evening,Weekdays,Autumn,Nearby Temple,Hotel in Sydney,"https://www.google.com/maps/search/Botanical+Garden+in+Sydney,Sydney"
France,Île-de-France,Paris,Shopping Mall in Paris,"125 Shopping Mall St, Paris, Île-de-France, France","https://source.unsplash.com/400x300/?ShoppingMall,Paris",4.0,Evening,Anytime,Summer,Nearby Botanical Garden,Hostel in Paris,"https://www.google.com/maps/search/Shopping+Mall+in+Paris,Paris"
India,Rajasthan,Udaipur,Theme Park in Udaipur,"188 Theme Park St, Udaipur, Rajasthan, India","https://source.unsplash.com/400x300/?ThemePark,Udaipur",4.0,Afternoon,Anytime,Autumn,Nearby Amusement Park,Hostel in Udaipur,"https://www.google.com/maps/search/Theme+Park+in+Udaipur,Udaipur"
USA,Texas,Austin,Botanical Garden in Austin,"646 Botanical Garden St, Austin, Texas, USA","https://source.unsplash.com/400x300/?BotanicalGarden,Austin",3.7,Evening,Anytime,Winter,Nearby Wildlife Sanctuary,Resort in Austin,"https://www.google.com/maps/search/Botanical+Garden+in+Austin,Austin"
Japan,Hokkaido,Sapporo,Wildlife Sanctuary in Sapporo,"702 Wildlife Sanctuary St, Sapporo, Hokkaido, Japan","https://source.unsplash.com/400x300/?WildlifeSanctuary,Sapporo",4.4,Evening,Weekends,Spring,Nearby Cultural Center,Hotel in Sapporo,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Sapporo,Sapporo"
India,Tamil Nadu,Madurai,Waterfall in Madurai,"269 Waterfall St, Madurai, Tamil Nadu, India","https://source.unsplash.com/400x300/?Waterfall,Madurai",4.6,Evening,Anytime,Winter,Nearby Waterfall,Resort in Madurai,"https://www.google.com/maps/search/Waterfall+in+Madurai,Madurai"
Australia,New South Wales,Newcastle,Temple in Newcastle,"64 Temple St, Newcastle, New South Wales, Australia","https://source.unsplash.com/400x300/?Temple,Newcastle",4.2,Evening,Anytime,Winter,Nearby Museum,Resort in Newcastle,"https://www.google.com/maps/search/Temple+in+Newcastle,Newcastle"
Japan,Kyoto,Arashiyama,Wildlife Sanctuary in Arashiyama,"373 Wildlife Sanctuary St, Arashiyama, Kyoto, Japan","https://source.unsplash.com/400x300/?WildlifeSanctuary,Arashiyama",3.5,Afternoon,Weekends,Autumn,Nearby Cultural Center,Resort in Arashiyama,"https://www.google.com/maps/search/Wildlife+Sanctuary+in+Arashiyama,Arashiyama"
Japan,Kyoto,Arashiyama,Waterfall in Arashiyama,"324 Waterfall St, Arashiyama, Kyoto, Japan","https://source.unsplash.com/400x300/?Waterfall,Arashiyama",4.7,Evening,Weekdays,Winter,Nearby Aquarium,Resort in Arashiyama,"https://www.google.com/maps/search/Waterfall+in+Arashiyama,Arashiyama"
USA,Florida,Tampa,Shopping Mall in Tampa,"330 Shopping Mall St, Tampa, Florida, USA","https://source.unsplash.com/400x300/?ShoppingMall,Tampa",5.0,Afternoon,Weekends,Autumn,Nearby Wildlife Sanctuary,Resort in Tampa,"https://www.google.com/maps/search/Shopping+Mall+in+Tampa,Tampa"
India,Kerala,Kochi,Museum in Kochi,"846 Museum St, Kochi, Kerala, India","https://source.unsplash.com/400x300/?Museum,Kochi",4.4,Morning,Weekdays,Winter,Nearby Theme Park,Hotel in Kochi,"https://www.google.com/maps/search/Museum+in+Kochi,Kochi"
Japan,Tokyo,Shibuya,Zoo in Shibuya,"20 Zoo St, Shibuya, Tokyo, Japan","https://source.unsplash.com/400x300/?Zoo,Shibuya",4.8,Evening,Weekends,Spring,Nearby Temple,Hotel in Shibuya,"https://www.google.com/maps/search/Zoo+in+Shibuya,Shibuya"
Japan,Osaka,Namba,Shopping Mall in Namba,"469 Shopping Mall St, Namba, Osaka, Japan","https://source.unsplash.com/400x300/?ShoppingMall,Namba",4.0,Morning,Anytime,Summer,Nearby Botanical Garden,Hostel in Namba,"https://www.google.com/maps/search/Shopping+Mall+in+Namba,Namba"
Japan,Tokyo,Shibuya,Aquarium in Shibuya,"83 Aquarium St, Shibuya, Tokyo, Japan","https://source.unsplash.com/400x300/?Aquarium,Shibuya",4.2,Afternoon,Weekdays,Summer,Nearby Wildlife Sanctuary,Hostel in Shibuya,"https://www.google.com/maps/search/Aquarium+in+Shibuya,Shibuya"
USA,Florida,Orlando,Mountain in Orlando,"59 Mountain St, Orlando, Florida, USA","https://source.unsplash.com/400x300/?Mountain,Orlando",4.1,Morning,Weekends,Summer,Nearby Waterfall,Hotel in Orlando,"https://www.google.com/maps/search/Mountain+in+Orlando,Orlando"
